t_s,RPM,theta_mech_rad,theta_e_deg_true,theta_e_deg_hall_est,HA,HB,HC,HallState
0.15990000000000001,156.07803901950967,7.842069041521149,259.7618809404685,240.0,0,1,1,6
0.16,155.68784392196096,7.843699400810211,261.1630715357669,240.0,0,1,1,6
0.16010000000000002,155.29764882441214,7.845325673985766,262.5607503751862,240.0,0,1,1,6
0.1602,154.90745372686342,7.8469478610478145,263.95491745872823,240.0,0,1,1,6
0.1603,154.5172586293146,7.848565961996357,265.34557278639204,240.0,0,1,1,6
0.16040000000000001,154.12706353176588,7.850179976831393,266.73271635817764,240.0,0,1,1,6
0.1605,153.73686843421706,7.8517899055529226,268.11634817408594,240.0,0,1,1,6
0.16060000000000002,153.34667333666835,7.8533957481609455,269.49646823411604,240.0,0,1,1,6
0.1607,152.95647823911952,7.854997504655463,270.87307653826883,240.0,0,1,1,6
0.1608,152.5662831415708,7.856595175036473,272.2461730865425,240.0,0,1,1,6
0.16090000000000002,152.17608804402198,7.858188759303976,273.6157578789389,240.0,0,1,1,6
0.161,151.78589294647315,7.8597782574579735,274.98183091545616,240.0,0,1,1,6
0.16110000000000002,151.39569784892444,7.8613636694984645,276.34439219609703,240.0,0,1,1,6
0.1612,151.00550275137562,7.8629449954254484,277.7034417208588,240.0,0,1,1,6
0.1613,150.6153076538269,7.864522235238926,279.05897948974325,240.0,0,1,1,6
0.16140000000000002,150.22511255627808,7.8660953889388985,280.4110055027495,240.0,0,1,1,6
0.1615,149.83491745872936,7.867664456525364,281.75951975987846,240.0,0,1,1,6
0.16160000000000002,149.44472236118054,7.869229437998324,283.1045222611301,240.0,0,1,1,6
0.1617,149.05452726363183,7.870790333357776,284.44601300650265,240.0,0,1,1,6
0.1618,148.664332166083,7.872347142603721,285.783991995997,240.0,0,1,1,6
0.16190000000000002,148.2741370685343,7.873899865736161,287.1184592296131,240.0,0,1,1,6
0.162,147.88394197098546,7.875448502755094,288.44941470735284,240.0,0,1,1,6
0.1621,147.49374687343663,7.87699305366052,289.77685842921255,240.0,0,1,1,6
0.1622,147.10355177588792,7.878533518452441,291.1007903951959,240.0,0,1,1,6
0.1623,146.7133566783391,7.880069897130856,292.4212106053019,240.0,0,1,1,6
0.16240000000000002,146.32316158079038,7.881602189695763,293.7381190595288,240.0,0,1,1,6
0.1625,145.93296648324156,7.883130396147164,295.0515157578784,240.0,0,1,1,6
0.1626,145.54277138569284,7.8846545164850586,296.3614007003498,240.0,0,1,1,6
0.1627,145.15257628814402,7.886174550709447,297.6677738869439,240.0,0,1,1,6
0.1628,144.7623811905953,7.887690498820329,298.970635317658,240.0,0,1,1,6
0.16290000000000002,144.37218609304648,7.889202360817705,300.26998499249567,300.0,0,0,1,4
0.163,143.98199099549777,7.890710136701573,301.56582291145514,300.0,0,0,1,4
0.1631,143.59179589794894,7.892213826471935,302.8581490745364,300.0,0,0,1,4
0.1632,143.20160080040012,7.893713430128791,304.1469634817395,300.0,0,0,1,4
0.1633,142.8114057028514,7.895208947672141,305.43226613306524,300.0,0,0,1,4
0.16340000000000002,142.42121060530258,7.8967003791019845,306.7140570285137,300.0,0,0,1,4
0.1635,142.03101550775386,7.898187724418322,307.99233616808397,300.0,0,0,1,4
0.1636,141.64082041020504,7.899670983621152,309.2671035517751,300.0,0,0,1,4
0.1637,141.25062531265633,7.901150156710476,310.53835917958986,300.0,0,0,1,4
0.1638,140.8604302151075,7.902625243686294,311.8061030515255,300.0,0,0,1,4
0.16390000000000002,140.4702351175588,7.904096244548605,313.0703351675829,300.0,0,0,1,4
0.164,140.08004002000996,7.90556315929741,314.33105552776306,300.0,0,0,1,4
0.1641,139.68984492246125,7.907025987932708,315.588264132065,300.0,0,0,1,4
0.1642,139.29964982491242,7.9084847304545,316.8419609804896,300.0,0,0,1,4
0.1643,138.9094547273636,7.909939386862785,318.0921460730351,300.0,0,0,1,4
0.16440000000000002,138.51925962981488,7.911389957157564,319.3388194097033,300.0,0,0,1,4
0.1645,138.12906453226606,7.912836441338837,320.58198099049423,300.0,0,0,1,4
0.1646,137.73886943471734,7.914278839406603,321.82163081540693,300.0,0,0,1,4
0.1647,137.34867433716852,7.915717151360863,323.05776888444143,300.0,0,0,1,4
0.1648,136.9584792396198,7.917151377201616,324.2903951975977,300.0,0,0,1,4
0.16490000000000002,136.56828414207098,7.918581516928864,325.5195097548767,300.0,0,0,1,4
0.165,136.17808904452227,7.920007570542603,326.7451125562766,300.0,0,0,1,4
0.1651,135.78789394697344,7.921429538042838,327.96720360179916,300.0,0,0,1,4
0.1652,135.39769884942473,7.922847419429565,329.18578289144443,300.0,0,0,1,4
0.1653,135.0075037518759,7.924261214702787,330.4008504252115,300.0,0,0,1,4
0.16540000000000002,134.6173086543272,7.925670923862502,331.6124062031013,300.0,0,0,1,4
0.1655,134.22711355677836,7.92707654690871,332.820450225111,300.0,0,0,1,4
0.1656,133.83691845922954,7.928478083841413,334.0249824912453,300.0,0,0,1,4
0.16570000000000001,133.44672336168082,7.929875534660608,335.22600300150043,300.0,0,0,1,4
0.1658,133.056528264132,7.931268899366298,336.42351175587737,300.0,0,0,1,4
0.16590000000000002,132.66633316658329,7.93265817795848,337.617508754377,300.0,0,0,1,4
0.166,132.27613806903446,7.9340433704371565,338.80799399699845,300.0,0,0,1,4
0.1661,131.88594297148575,7.935424476802326,339.99496748374077,300.0,0,0,1,4
0.16620000000000001,131.49574787393692,7.93680149705399,341.1784292146067,300.0,0,0,1,4
0.1663,131.1055527763882,7.938174431192146,342.3583791895926,300.0,0,0,1,4
0.16640000000000002,130.71535767883938,7.939543279216797,343.534817408703,300.0,0,0,1,4
0.1665,130.32516258129067,7.940908041127941,344.7077438719343,300.0,0,0,1,4
0.1666,129.93496748374184,7.94226871692558,345.87715857928833,300.0,0,0,1,4
0.16670000000000001,129.54477238619302,7.943625306609712,347.04306153076504,300.0,0,0,1,4
0.1668,129.1545772886443,7.944977810180336,348.20545272636264,300.0,0,0,1,4
0.16690000000000002,128.76438219109548,7.946326227637455,349.364332166082,300.0,0,0,1,4
0.167,128.37418709354677,7.947670558981066,350.5196998499241,300.0,0,0,1,4
0.1671,127.98399199599794,7.949010804211173,351.671555777888,300.0,0,0,1,4
0.16720000000000002,127.59379689844923,7.950346963327771,352.81989994997275,300.0,0,0,1,4
0.1673,127.2036018009004,7.951679036330864,353.96473236618203,300.0,0,0,1,4
0.16740000000000002,126.81340670335169,7.953007023220452,355.1060530265131,300.0,0,0,1,4
0.1675,126.42321160580286,7.954330923996531,356.24386193096416,300.0,0,0,1,4
0.1676,126.03301650825415,7.955650738659106,357.3781590795397,300.0,0,0,1,4
0.16770000000000002,125.64282141070532,7.956966467208173,358.5089444722362,300.0,0,0,1,4
0.1678,125.2526263131565,7.958278109643734,359.63621810905533,300.0,0,0,1,4
0.16790000000000002,124.86243121560778,7.959585665965788,0.7599799899944628,0.0,1,0,1,5
0.168,124.47223611805896,7.960889136174336,1.880230115057202,0.0,1,0,1,5
0.1681,124.08204102051025,7.962188520269377,2.9969684842417337,0.0,1,0,1,5
0.16820000000000002,123.69184592296142,7.9634838182509124,4.110195097548967,0.0,1,0,1,5
